,Power [kW],Temperature [°C],Holiday,Hour,Day_of_the_week,Month,working_day,logtemp,Power-1
5214,366.8535052,21.110833333333332,0.0,11,3,10,1,3.049786336842964,362.5613901
5215,345.3749299,21.160833333333333,0.0,12,3,10,1,3.0521519886973008,366.8535052
5216,365.6920995,21.594166666666666,0.0,13,3,10,1,3.072423216488489,345.3749299
5217,343.1188852,21.540833333333335,0.0,14,3,10,1,3.0699503586926746,365.6920995
5218,395.4147925,21.259166666666665,0.0,15,3,10,1,3.056788174905056,343.1188852
5219,377.0332293,20.895,0.0,16,3,10,1,3.0395098958998785,395.4147925
5220,286.4017247,19.733333333333334,0.0,17,3,10,1,2.9823092532218505,377.0332293
5221,226.2204399,18.767500000000002,0.0,18,3,10,1,2.9321266504650203,286.4017247
5222,167.4391628,18.099999999999998,0.0,19,3,10,1,2.8959119382717797,226.2204399
5223,135.9516522,17.921666666666667,0.0,20,3,10,1,2.88601040917438,167.4391628
5224,133.4289593,17.894166666666667,0.0,21,3,10,1,2.8844747751910407,135.9516522
5225,130.9140105,16.5175,0.0,6,4,10,1,2.804420424921904,133.4289593
5226,170.6523364,16.554166666666667,0.0,7,4,10,1,2.8066378324726076,130.9140105
5227,259.8488802,16.309166666666666,0.0,8,4,10,1,2.7917273219288776,170.6523364
5228,303.8671818,16.692500000000003,0.0,9,4,10,1,2.814959516749887,259.8488802
5229,313.3750529,17.035,0.0,10,4,10,1,2.83527005111293,303.8671818
5230,346.3299658,18.868333333333336,0.0,11,4,10,1,2.937485031861963,313.3750529
5231,294.8101429,20.580833333333334,0.0,12,4,10,1,3.02436022197354,346.3299658
5232,302.095248,21.26,0.0,13,4,10,1,3.056827372913802,294.8101429
5233,324.7425545,22.055000000000003,0.0,14,4,10,1,3.0935393335569032,302.095248
5234,333.5463404,22.72916666666666,0.0,15,4,10,1,3.1236489749251795,324.7425545
5235,322.1445136,22.56,0.0,16,4,10,1,3.1161784266298582,333.5463404
5236,280.2386769,21.85166666666667,0.0,17,4,10,1,3.0842771962832556,322.1445136
5237,205.3088583,21.730833333333337,0.0,18,4,10,1,3.0787321429731156,280.2386769
5238,162.303778,21.751666666666665,0.0,19,4,10,1,3.079690382951381,205.3088583
5239,130.9364056,21.346666666666668,0.0,20,4,10,1,3.0608955994604043,162.303778
